=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.26 13:08:30 =~=~=~=~=~=~=~=~=~=~=~=
c%B`c 2@C`
ccX0
!`i)`s

M[@cFcP.C
c3
@
&cBRAW READINGS  X: -5 Y: -1 Z: -12
RAW READINGS  X: -2 Y: 3 Z: -9
RAW READINGS  X: -2 Y: 0 Z: -10
RAW READINGS  X: -1 Y: 2 Z: -12
RAW READINGS  X: -2 Y: 0 Z: -9
RAW READINGS  X: -3 Y: -2 Z: -9
RAW READINGS  X: -8 Y: 0 Z: -12
RAW READINGS  X: -5 Y: 1 Z: -13
RAW READINGS  X: -5 Y: 1 Z: -11
RAW READINGS  X: -3 Y: -2 Z: -8
RAW READINGS  X: -4 Y: 0 Z: -10
RAW READINGS  X: -3 Y: 1 Z: -8
RAW READINGS  X: -6 Y: 0 Z: -11
RAW READINGS  X: -5 Y: 1 Z: -11
RAW READINGS  X: -1 Y: -1 Z: -9
RAW READINGS  X: -2 Y: -2 Z: -11
RAW READINGS  X: -2 Y: 3 Z: -9
RAW READINGS  X: -4 Y: -1 Z: -10
RAW READINGS  X: -2 Y: 2 Z: -13
RAW READINGS  X: -4 Y: -1 Z: -10
RAW READINGS  X: -4 Y: 1 Z: -12
RAW READINGS  X: -3 Y: 0 Z: -11
RAW READINGS  X: -4 Y: 3 Z: -10
RAW READINGS  X: -4 Y: -2 Z: -12
RAW READINGS  X: -3 Y: -1 Z: -11
RAW READINGS  X: -3 Y: -1 Z: -11
RAW READINGS  X: -3 Y: 1 Z: -10
RAW READINGS  X: -1 Y: -2 Z: -10
RAW READINGS  X: -3 Y: 3 Z: -11
RAW READINGS  X: -3 Y: -4 Z: -12
RAW READINGS  X: -3 Y: -3 Z: -10
RAW READINGS  X: -2 Y: 0 Z: -9
RAW READINGS  X: 0 Y: 7 Z: -8
RAW READINGS  X: -4 Y: -1 Z: -10
RAW READINGS  X: -4 Y: -1 Z: -11
RAW READINGS  X: -1 Y: 1 Z: -11
RAW READINGS  X: -3 Y: 2 Z: -14
RAW READINGS  X: -4 Y: 0 Z: -12
RAW READINGS  X: -5 Y: 0 Z: -10
RAW READINGS  X: 0 Y: 1 Z: -11
RAW READINGS  X: -1 Y: 0 Z: -10
RAW READINGS  X: -4 Y: 1 Z: -11
RAW READINGS  X: 3 Y: -4 Z: -11
RAW READINGS  X: -1 Y: -1 Z: -8
RAW READINGS  X: -3 Y: 0 Z: -10
RAW READINGS  X: -2 Y: -2 Z: -13
RAW READINGS  X: 0 Y: -7 Z: -11
RAW READINGS  X: 0 Y: 3 Z: -10
RAW READINGS  X: -5 Y: -3 Z: -11
RAW READINGS  X: 0 Y: -1 Z: -11
RAW READINGS  X: -5 Y: -1 Z: -11
RAW READINGS  X: -5 Y: 1 Z: -12
RAW READINGS  X: -5 Y: -1 Z: -13
RAW READINGS  X: -4 Y: -2 Z: -11
RAW READINGS  X: -6 Y: 0 Z: -12
RAW READINGS  X: -3 Y: 0 Z: -11
RAW READINGS  X: -3 Y: -1 Z: -9
RAW READINGS  X: -2 Y: 1 Z: -12
RAW READINGS  X: -4 Y: 1 Z: -11
RAW READINGS  X: -3 Y: -2 Z: -9
RAW READINGS  X: -2 Y: -1 Z: -9
Average Readings  X: -1 Y: -1 Z: -1

RAW READINGS  X: -4 Y: 1 Z: -9
RAW READINGS  X: -5 Y: 0 Z: -10
RAW READINGS  X: -3 Y: 1 Z: -9
RAW READINGS  X: -7 Y: 4 Z: -12
RAW READINGS  X: -7 Y: -6 Z: -11
RAW READINGS  X: -4 Y: -4 Z: -14
RAW READINGS  X: -10 Y: -7 Z: -12
RAW READINGS  X: 4 Y: 5 Z: -7
RAW READINGS  X: -6 Y: -4 Z: -11
RAW READINGS  X: -6 Y: -2 Z: -12
RAW READINGS  X: -5 Y: 0 Z: -8
RAW READINGS  X: -1 Y: -1 Z: -12
RAW READINGS  X: -3 Y: 5 Z: -10
RAW READINGS  X: -3 Y: 1 Z: -11
RAW READINGS  X: -1 Y: -2 Z: -12
RAW READINGS  X: -4 Y: 1 Z: -10
RAW READINGS  X: -4 Y: 0 Z: -13
RAW READINGS  X: -3 Y: -2 Z: -9
RAW READINGS  X: -2 Y: 0 Z: -13
RAW READINGS  X: 0 Y: -1 Z: -11
RAW READINGS  X: -4 Y: 9 Z: -9
RAW READINGS  X: -1 Y: -1 Z: -9
RAW READINGS  X: -7 Y: -5 Z: -12
RAW READINGS  X: -1 Y: -1 Z: -9
RAW READINGS  X: 0 Y: 4 Z: -9
RAW READINGS  X: -5 Y: 2 Z: -12
RAW READINGS  X: -2 Y: 0 Z: -12
RAW READINGS  X: -2 Y: -2 Z: -8
RAW READINGS  X: -3 Y: 0 Z: -9
RAW READINGS  X: -4 Y: 0 Z: -10
RAW READINGS  X: -4 Y: 3 Z: -11
RAW READINGS  X: -1 Y: 0 Z: -9
RAW READINGS  X: -4 Y: 4 Z: -11
RAW READINGS  X: -5 Y: 1 Z: -10
RAW READINGS  X: -1 Y: 1 Z: -11
RAW READINGS  X: -2 Y: 0 Z: -11
RAW READINGS  X: -6 Y: 2 Z: -11
RAW READINGS  X: -4 Y: -2 Z: -11
RAW READINGS  X: 0 Y: 4 Z: -11
RAW READINGS  X: -4 Y: -2 Z: -9
RAW READINGS  X: -19 Y: -2 Z: -16
RAW READINGS  X: 0 Y: 0 Z: -10
RAW READINGS  X: -4 Y: -1 Z: -12
RAW READINGS  X: -8 Y: -1 Z: -12
RAW READINGS  X: -4 Y: -1 Z: -9
RAW READINGS  X: -4 Y: 2 Z: -9
RAW READINGS  X: -3 Y: 1 Z: -10
RAW READINGS  X: -4 Y: 0 Z: -8
RAW READINGS  X: -5 Y: -2 Z: -11
RAW READINGS  X: -6 Y: 1 Z: -7
RAW READINGS  X: -1 Y: 0 Z: -13
RAW READINGS  X: -5 Y: 2 Z: -12
RAW READINGS  X: -5 Y: 1 Z: -11
RAW READINGS  X: -5 Y: 3 Z: -11
RAW READINGS  X: -4 Y: 0 Z: -9
RAW READINGS  X: -1 Y: -8 Z: -12
RAW READINGS  X: 34 Y: 41 Z: -3
RAW READINGS  X: -6 Y: -7 Z: -10
RAW READINGS  X: 1 Y: -8 Z: -12
RAW READINGS  X: -3 Y: 6 Z: -7
RAW READINGS  X: -3 Y: 1 Z: -11
RAW READINGS  X: 0 Y: 0 Z: -10
RAW READINGS  X: -3 Y: 3 Z: -7
RAW READINGS  X: 0 Y: 1 Z: -9
RAW READINGS  X: -3 Y: 2 Z: -13
RAW READINGS  X: 0 Y: 4 Z: -10
RAW READINGS  X: -7 Y: 8 Z: -11
RAW READINGS  X: -1 Y: -2 Z: -12
RAW READINGS  X: -3 Y: 2 Z: -11
RAW READINGS  X: -1 Y: 0 Z: -8
RAW READINGS  X: -1 Y: 1 Z: -7
RAW READINGS  X: -2 Y: -4 Z: -12
RAW READINGS  X: -5 Y: -1 Z: -11
RAW READINGS  X: -3 Y: 2 Z: -9
RAW READINGS  X: -4 Y: -1 Z: -11
RAW READINGS  X: 0 Y: -2 Z: -9
RAW READINGS  X: -1 Y: 0 Z: -11
RAW READINGS  X: -1 Y: 1 Z: -9
RAW READINGS  X: -5 Y: 0 Z: -10
RAW READINGS  X: 0 Y: 1 Z: -4
RAW READINGS  X: -3 Y: -4 Z: -10
RAW READINGS  X: 0 Y: 0 Z: -10
RAW READINGS  X: -1 Y: 1 Z: -11
RAW READINGS  X: -5 Y: 1 Z: -9
RAW READINGS  X: -4 Y: -2 Z: -10
RAW READINGS  X: -3 Y: 2 Z: -10
RAW READINGS  X: -10 Y: -3 Z: -13
RAW READINGS  X: -11 Y: -11 Z: -14
RAW READINGS  X: -5 Y: -7 Z: -12
RAW READINGS  X: -1 Y: 4 Z: -9
RAW READINGS  X: -4 Y: 4 Z: -10
RAW READINGS  X: -14 Y: -4 Z: -12
RAW READINGS  X: 0 Y: 0 Z: -8
RAW READINGS  X: 0 Y: 2 Z: -10
RAW READINGS  X: -3 Y: 1 Z: -11
RAW READINGS  X: -4 Y: -2 Z: -11
RAW READINGS  X: -2 Y: 1 Z: -10
RAW READINGS  X: 0 Y: 0 Z: -11
RAW READINGS  X: -3 Y: 2 Z: -9
RAW READINGS  X: -4 Y: 0 Z: -10
Average Readings  X: -1 Y: -1 Z: -1

RAW READINGS  X: -4 Y: 2 Z: -12
RAW READINGS  X: -5 Y: -3 Z: -10
RAW READINGS  X: -11 Y: -16 Z: -16
RAW READINGS  X: -2 Y: 8 Z: -9
RAW READINGS  X: -3 Y: 1 Z: -12
RAW READINGS  X: -4 Y: 2 Z: -10
RAW READINGS  X: -5 Y: 1 Z: -13
RAW READINGS  X: -2 Y: 1 Z: -10
RAW READINGS  X: -3 Y: -3 Z: -11
RAW READINGS  X: -2 Y: -1 Z: -15
RAW READINGS  X: 0 Y: 1 Z: -11
RAW READINGS  X: -3 Y: 2 Z: -9
RAW READINGS  X: -5 Y: 3 Z: -10
RAW READINGS  X: -2 Y: 1 Z: -10
RAW READINGS  X: -3 Y: 2 Z: -11
RAW READINGS  X: -6 Y: -1 Z: -11
RAW READINGS  X: -2 Y: 2 Z: -11
RAW READINGS  X: -6 Y: -1 Z: -10
RAW READINGS  X: -1 Y: -2 Z: -7
RAW READINGS  X: -8 Y: -11 Z: -11
RAW READINGS  X: -7 Y: -5 Z: -13
RAW READINGS  X: -2 Y: -3 Z: -11
RAW READINGS  X: -1 Y: -2 Z: -10
RAW READINGS  X: 0 Y: -2 Z: -8
RAW READINGS  X: -7 Y: -6 Z: -11
RAW READINGS  X: -5 Y: 0 Z: -12
RAW READINGS  X: -1 Y: 2 Z: -9
RAW READINGS  X: -3 Y: 1 Z: -12
RAW READINGS  X: -6 Y: 0 Z: -13
RAW READINGS  X: -11 Y: -5 Z: -11
RAW READINGS  X: 0 Y: -1 Z: -10
RAW READINGS  X: -7 Y: -8 Z: -13
RAW READINGS  X: -3 Y: 4 Z: -9
RAW READINGS  X: -4 Y: -2 Z: -9
RAW READINGS  X: -6 Y: -2 Z: -11
RAW READINGS  X: -5 Y: 0 Z: -13
