=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.02 11:02:53 =~=~=~=~=~=~=~=~=~=~=~=
Some values discarded
CALIBRATION COMPLETE  X: -47 Y: 185 Z: 133
RAW READINGS  X: -1 Y: 10 Z: -7
RAW READINGS  X: -6 Y: -1 Z: -12
RAW READINGS  X: -3 Y: 10 Z: -11
RAW READINGS  X: -6 Y: -2 Z: -12
RAW READINGS  X: -14 Y: -48 Z: -23
RAW READINGS  X: -5 Y: -17 Z: -16
RAW READINGS  X: -4 Y: 13 Z: -5
RAW READINGS  X: -6 Y: 2 Z: -10
RAW READINGS  X: 0 Y: 34 Z: -4
RAW READINGS  X: -6 Y: -3 Z: -13
RAW READINGS  X: -4 Y: -2 Z: -14
RAW READINGS  X: -10 Y: -1 Z: -11
RAW READINGS  X: -4 Y: 7 Z: -10
RAW READINGS  X: -6 Y: 8 Z: -10
RAW READINGS  X: -5 Y: 5 Z: -10
RAW READINGS  X: -7 Y: -5 Z: -13
RAW READINGS  X: -2 Y: 10 Z: -9
RAW READINGS  X: -6 Y: 3 Z: -9
RAW READINGS  X: -6 Y: 8 Z: -11
RAW READINGS  X: -7 Y: -10 Z: -15
RAW READINGS  X: -4 Y: 11 Z: -9
RAW READINGS  X: -6 Y: 6 Z: -8
RAW READINGS  X: -7 Y: -3 Z: -12
RAW READINGS  X: -6 Y: 1 Z: -12
RAW READINGS  X: -3 Y: 7 Z: -9
RAW READINGS  X: -3 Y: -2 Z: -15
RAW READINGS  X: -5 Y: -9 Z: -14
RAW READINGS  X: -6 Y: 3 Z: -10
RAW READINGS  X: -2 Y: 21 Z: -8
RAW READINGS  X: -7 Y: 2 Z: -11
RAW READINGS  X: -4 Y: 6 Z: -9
RAW READINGS  X: -7 Y: -4 Z: -14
RAW READINGS  X: -7 Y: -14 Z: -13
RAW READINGS  X: -8 Y: -18 Z: -17
RAW READINGS  X: -5 Y: 4 Z: -11
RAW READINGS  X: -2 Y: 12 Z: -9
RAW READINGS  X: -4 Y: 6 Z: -7
RAW READINGS  X: -6 Y: -5 Z: -13
RAW READINGS  X: 0 Y: 18 Z: -6
RAW READINGS  X: -5 Y: 21 Z: -6
RAW READINGS  X: -3 Y: 4 Z: -10
RAW READINGS  X: -11 Y: -13 Z: -13
RAW READINGS  X: -7 Y: -13 Z: -15
RAW READINGS  X: -5 Y: 25 Z: -3
RAW READINGS  X: 0 Y: 15 Z: -6
RAW READINGS  X: -10 Y: -35 Z: -21
RAW READINGS  X: 2 Y: 58 Z: 2
RAW READINGS  X: 3 Y: 52 Z: 2
RAW READINGS  X: -17 Y: -56 Z: -24
RAW READINGS  X: -2 Y: 2 Z: -11
RAW READINGS  X: -1 Y: 9 Z: -9
RAW READINGS  X: -10 Y: -29 Z: -21
RAW READINGS  X: -5 Y: 1 Z: -10
RAW READINGS  X: -4 Y: 12 Z: -10
RAW READINGS  X: -2 Y: 29 Z: -5
RAW READINGS  X: -6 Y: -7 Z: -13
RAW READINGS  X: 0 Y: 27 Z: -4
RAW READINGS  X: -4 Y: 6 Z: -9
RAW READINGS  X: -11 Y: -24 Z: -20
RAW READINGS  X: -4 Y: 7 Z: -10
RAW READINGS  X: -8 Y: -11 Z: -15
RAW READINGS  X: -6 Y: 12 Z: -10
RAW READINGS  X: -1 Y: 32 Z: -6
RAW READINGS  X: -9 Y: -9 Z: -12
RAW READINGS  X: -5 Y: 1 Z: -11
RAW READINGS  X: -11 Y: -27 Z: -17
RAW READINGS  X: -3 Y: 2 Z: -9
RAW READINGS  X: -3 Y: 16 Z: -8
RAW READINGS  X: -6 Y: -1 Z: -15
RAW READINGS  X: -7 Y: 7 Z: -10
RAW READINGS  X: -4 Y: -11 Z: -16
RAW READINGS  X: 0 Y: 18 Z: -9
RAW READINGS  X: -3 Y: 7 Z: -10
RAW READINGS  X: -5 Y: 1 Z: -10
RAW READINGS  X: -1 Y: 15 Z: -7
RAW READINGS  X: -7 Y: 3 Z: -9
RAW READINGS  X: -7 Y: -5 Z: -12
RAW READINGS  X: -8 Y: -5 Z: -14
RAW READINGS  X: -6 Y: -2 Z: -13
RAW READINGS  X: -4 Y: 3 Z: -11
RAW READINGS  X: -6 Y: 2 Z: -11
RAW READINGS  X: -4 Y: 21 Z: -9
RAW READINGS  X: -5 Y: 16 Z: -6
RAW READINGS  X: -6 Y: -5 Z: -12
RAW READINGS  X: 0 Y: 24 Z: -7
RAW READINGS  X: -7 Y: 0 Z: -15
RAW READINGS  X: -7 Y: -3 Z: -13
RAW READINGS  X: -3 Y: 14 Z: -8
RAW READINGS  X: 0 Y: 13 Z: -9
RAW READINGS  X: -8 Y: -24 Z: -16
RAW READINGS  X: -3 Y: -2 Z: -12
RAW READINGS  X: -8 Y: -12 Z: -11
RAW READINGS  X: -2 Y: 12 Z: -7
RAW READINGS  X: 0 Y: 30 Z: -4
RAW READINGS  X: -5 Y: -20 Z: -17
RAW READINGS  X: -6 Y: 12 Z: -10
RAW READINGS  X: -3 Y: 11 Z: -6
RAW READINGS  X: -18 Y: 4 Z: -12
RAW READINGS  X: 1 Y: 43 Z: -1
RAW READINGS  X: 0 Y: 25 Z: -5
Average Readings  X: 43 Y: -182 Z: -143

RAW READINGS  X: -10 Y: -18 Z: -15
RAW READINGS  X: -10 Y: -18 Z: -16
RAW READINGS  X: 0 Y: 14 Z: -8
RAW READINGS  X: -6 Y: -6 Z: -13
RAW READINGS  X: -6 Y: 6 Z: -10
RAW READINGS  X: 0 Y: -9 Z: -9
RAW READINGS  X: 0 Y: 33 Z: -1
RAW READINGS  X: -6 Y: 2 Z: -11
RAW READINGS  X: -9 Y: -14 Z: -16
RAW READINGS  X: -2 Y: 8 Z: -8
RAW READINGS  X: -11 Y: -17 Z: -18
