Time,xAcc,yAcc,zGyro
6007,-231,-171,-6
6107,-133,-171,-16
6207,-129,-203,-24
6307,-198,-144,-14
6407,-105,-205,-10
6507,-184,-182,-14
6607,-146,-191,-22
6707,-139,-164,-30
6807,-138,-182,-34
6907,-166,-195,-32
7007,-128,-181,-27
7107,56,-225,-36
7207,-108,-162,-45
7307,0,-159,-63
7407,-231,-207,-79
7507,-144,-218,-30
7607,-190,-208,-32
7707,-367,-168,2
7807,140,-206,-16
7907,-294,-186,-3
8007,161,-243,-1
8107,-129,-173,-17
8207,-86,-199,-9
8307,-147,-216,-17
8407,-177,-207,-4
8507,-28,-190,-8
8607,-10,-191,-7
8707,-61,-223,-14
8807,-158,-208,-8
8907,-49,-184,-11
9007,-133,-191,-10
9107,-11,-223,-7
9207,-77,-204,-14
9307,-115,-182,-6
9407,-35,-217,-14
9507,-113,-203,-9
9607,-102,-198,-14
9707,-42,-187,-6
9807,-117,-213,-13
9907,-36,-225,-6
10007,-131,-207,-13
10107,-9,-187,-4
10207,-121,-201,-12
10307,-39,-219,-9
10407,-95,-195,-9
10507,-99,-173,-7
10607,-51,-200,-14
10707,-105,-216,-10
10807,-23,-176,-7
10907,-354,-263,-20
11007,194,-206,-6
11107,-403,-227,-21
11207,-755,-136,49
11307,207,-240,47
11407,2143,-608,-227
11507,1871,-278,-891
11607,5698,-1929,-2058
11707,3680,-4193,-3171
11807,1119,-6723,-4032
11907,-718,-9305,-4781
12007,1520,-10679,-5166
12107,1028,-11429,-5429
12207,-904,-10843,-5259
12307,-1863,-9969,-4989
12407,-753,-8485,-4615
12507,-769,-8204,-4527
12607,-1383,-7612,-4328
12707,-538,-7071,-4165
12807,-1176,-6451,-4020
12907,-1043,-5839,-3808
13007,-778,-5407,-3647
13107,-970,-4912,-3475
13207,-687,-4482,-3324
13307,-689,-4164,-3212
13407,-773,-3931,-3087
13507,-564,-3657,-2979
13607,-614,-3419,-2862
13707,-586,-3198,-2770
13807,-575,-2957,-2666
13907,-527,-2793,-2570
14007,-518,-2578,-2477
14107,-457,-2427,-2391
14207,-409,-2319,-2324
14307,-411,-2185,-2264
14407,-352,-2093,-2207
14507,-349,-2006,-2146
14607,-391,-1915,-2090
14707,-371,-1806,-2028
14807,-343,-1691,-1963
14907,-411,-1623,-1900
15007,-376,-1509,-1825
15107,-351,-1388,-1759
15207,-368,-1293,-1692
15307,-345,-1222,-1626
15407,-379,-1134,-1553
15507,-337,-1048,-1487
15607,-343,-948,-1424
15707,-349,-900,-1357
15807,-295,-832,-1305
15907,-300,-777,-1249
16007,-283,-735,-1201
16107,-300,-685,-1148
16207,-266,-659,-1102
16307,-285,-602,-1058
16407,-252,-586,-1013
16507,-276,-540,-971
16607,-274,-513,-924
16707,-256,-485,-880
16807,-264,-462,-841
16907,-243,-448,-804
17007,-241,-416,-766
17107,-236,-399,-727
17207,-254,-389,-692
17307,-227,-377,-657
17407,-225,-335,-623
17507,-218,-342,-594
17607,-217,-323,-561
17707,-224,-322,-531
17807,-214,-292,-497
17907,-233,-256,-466
18007,-206,-276,-436
18107,-235,-282,-407
18207,-191,-271,-375
18307,-224,-231,-345
18407,-188,-238,-317
18507,-202,-261,-290
18607,-209,-236,-261
18707,-182,-223,-238
18807,-210,-218,-208
18907,-179,-250,-180
19007,-209,-220,-155
19107,-156,-203,-131
19207,-214,-202,-107
19307,-170,-222,-82
19407,-186,-215,-60
19507,-167,-200,-38
19607,-165,-194,-19
19707,-84,-219,-6
19807,-114,-219,-9
19907,-86,-209,-12
20007,-75,-217,-10
20107,-104,-199,-8
20207,-109,-207,-11
20307,-119,-215,-10
20407,-113,-225,-8
20507,-53,-207,-11
20607,-120,-219,-13
20707,-127,-224,-8
20807,-97,-206,-8
20911,0,-179,-17
21011,95,-290,-72
21111,107,-144,-109
21211,553,-268,-189
21311,1601,-341,-500
21411,2502,-822,-1066
21511,3990,-2000,-1989
21611,3554,-4615,-3232
21711,2054,-6460,-3972
21811,1068,-8908,-4728
21911,230,-9871,-4964
22011,298,-10598,-5202
22111,-2478,-10292,-5194
22211,-1618,-9876,-5000
22311,-643,-8294,-4607
22411,-2354,-8103,-4509
22511,-3467,-6476,-4171
22611,234,-5321,-3741
22711,-2451,-5658,-3756
22811,-1706,-4653,-3408
22911,161,-4489,-3296
23011,-1046,-4044,-3221
23111,359,-4162,-3022
23211,-58,-3773,-2990
23311,-727,-3565,-2876
23411,-61,-3201,-2795
23511,-440,-3202,-2731
23611,-386,-3000,-2644
23711,-416,-2782,-2563
23811,-534,-2533,-2474
23911,-424,-2413,-2381
24011,-562,-2284,-2292
24111,-411,-2086,-2197
24211,-476,-1877,-2115
24311,-452,-1778,-2026
24411,-391,-1682,-1951
24511,-381,-1533,-1881
24611,-397,-1425,-1808
24711,-316,-1377,-1748
24811,-383,-1310,-1692
24911,-363,-1209,-1624
25011,-1779,-1089,-1470
25111,512,-1086,-1413
25211,-1218,-1112,-1411
25311,-293,-700,-1219
25411,167,-830,-1200
25511,-1090,-623,-1123
25611,63,-623,-991
25711,-290,-638,-1006
25811,-335,-520,-932
25911,-178,-536,-910
26011,-157,-588,-881
26111,-186,-507,-843
26211,114,-496,-850
26311,149,-444,-815
26411,-102,-532,-804
26511,-365,-455,-748
26611,-52,-426,-718
26711,-301,-394,-692
26811,-180,-406,-651
26911,-193,-390,-635
27011,-168,-331,-595
27111,-252,-365,-611
27211,-1707,-309,-392
27311,-1262,-122,14
27411,-1532,-355,420
27511,507,-660,596
27611,1472,-726,396
27711,-1432,-545,262
27811,-98,-356,335
27911,1896,-446,161
28011,-618,-449,60
28111,-904,-411,221
28211,338,-299,231
28311,-414,-68,359
28411,312,-53,269
28511,-93,-227,260
28611,-505,47,229
28711,-875,95,226
28811,587,17,240
28911,-725,-170,216
29011,441,-271,211
29111,-226,-320,75
29211,-561,-182,160
29311,-360,-116,270
29411,-558,-181,381
29511,535,-357,374
29611,907,-312,136
29711,1803,-265,-229
29811,3626,-757,-1007
29911,3339,-1938,-1969
30011,2500,-3636,-2865
30111,1162,-5105,-3530
30211,281,-5227,-3665
30311,369,-5428,-3695
30411,-426,-5894,-3715
30511,-1506,-5063,-3527
30611,-629,-4541,-3336
30711,-644,-4297,-3238
30811,3732,-1729,1135
30911,-830,-1866,-608
31011,9215,-3239,-1322
31111,-692,-5652,-3660
31211,-6059,-2914,-2370
31311,-2636,-2962,-2491
31411,-736,-2748,-2188
31511,-727,-1916,-2348
31611,-718,-1762,-2140
31711,-911,-2593,-2158
31811,-3630,-1814,-1862
31911,-531,-46,-827
32011,-238,-631,-111
32111,-614,-16,234
32211,-619,-671,652
32311,-1897,-656,823
32411,-1731,-918,1211
32511,-1639,-1251,1569
32611,4,-1548,1597
32711,-465,-1971,1550
32811,-1064,-1285,1495
32911,-95,-1860,1463
33011,383,-1689,1233
33111,742,-1713,1045
33211,557,-1549,763
33311,245,-972,484
33411,427,-1357,292
33511,329,-912,174
33611,185,-965,186
33711,95,-888,192
33811,-199,-871,141
33911,-115,-801,104
34011,122,-871,96
34111,94,-910,95
34211,427,-1023,64
34311,54,-848,32
34411,16,-766,20
34511,-39,-823,24
34611,-27,-821,7
34711,105,-834,1
34811,79,-825,-30
34911,-35,-706,-41
35011,-79,-720,-24
35111,-17,-771,-15
35211,-62,-769,-18
35311,-72,-713,-9
35411,-17,-704,-4
35511,36,-746,-12
35611,-61,-737,-15
35711,-171,-700,3
35811,38,-792,13
35911,104,-767,-24
36011,142,-762,-39
36111,-373,-687,-2
36211,28,-824,1
36311,116,-735,-19
36411,-188,-685,4
36511,30,-794,4
36611,107,-747,-23
36711,-198,-709,-19
36811,-44,-731,4
36911,106,-765,-10
37011,-129,-715,-18
37111,-33,-724,-11
37211,18,-720,-10
37311,-38,-746,-8
37411,-40,-689,-8
37511,-187,-686,-5
37611,-169,-687,16
37711,379,-855,6
37811,41,-772,-40
37911,-358,-745,-17
38011,-2,-692,5
38111,78,-749,-18
38211,-316,-680,6
38311,262,-859,8
38411,142,-829,-36
38511,-193,-864,-9
