Time,xAcc,yAcc,zAcc,zGyro
2056,104,-314,4090,0
2076,14,-314,4086,-15
2096,-162,-286,3973,-12
2116,-64,-262,3699,-3
2136,82,-268,3691,-5
2156,23,-255,3707,-18
2176,-132,-231,3693,-16
2196,-117,-242,3712,-3
2216,73,-259,3873,-5
2236,46,-279,3971,-14
2256,-102,-291,4143,-16
2276,-121,-319,4296,-9
2296,-14,-341,4351,-5
2316,45,-350,4468,-10
2336,-49,-367,4648,-13
2356,-90,-362,4605,-9
2376,-16,-357,4569,-6
2396,31,-354,4570,-11
2416,-22,-340,4452,-14
2436,-97,-328,4313,-11
2456,-65,-313,4213,-7
2476,-8,-291,4049,-6
2496,-5,-281,3889,-9
2516,-60,-270,3879,-11
2536,-63,-247,3737,-6
2557,15,-256,3690,-8
2577,21,-252,3765,-11
2597,-31,-267,3834,-14
2617,-59,-271,3872,-13
2637,-25,-296,4023,-11
2657,-53,-306,4156,-12
2677,-82,-310,4258,-10
2697,-19,-317,4407,-8
2717,4,-360,4499,-14
2737,-101,-354,4543,-15
2757,-81,-332,4578,-8
2777,76,-347,4578,-4
2797,32,-367,4474,-17
2817,-169,-326,4429,-14
2837,-60,-314,4288,-1
2857,83,-321,4149,-6
2877,5,-302,4077,-15
2897,-165,-264,3945,-11
2917,-23,-282,3804,-3
2937,84,-291,3793,-10
2957,-21,-270,3794,-13
2977,-132,-270,3774,-11
2997,-38,-289,3840,-6
3017,41,-293,3941,-12
3037,-52,-297,4044,-14
3057,-75,-289,4173,-10
3077,-14,-318,4311,-8
3097,-23,-326,4387,-10
3117,-36,-331,4513,-11
3137,-28,-346,4556,-8
3157,-26,-346,4536,-10
3177,-56,-333,4516,-7
3197,-30,-350,4445,-7
3217,-22,-340,4348,-8
3237,-32,-321,4243,-11
3257,-60,-321,4133,-7
3277,-30,-300,4008,-8
3297,19,-275,3946,-10
3317,-42,-282,3871,-14
3337,-77,-269,3807,-13
3357,-30,-267,3817,-7
3377,5,-270,3858,-11
3397,-46,-276,3908,-13
3417,-67,-278,4003,-12
3437,-16,-309,4114,-8
3457,-2,-309,4207,-10
3477,-16,-332,4337,-11
3497,-63,-332,4395,-12
3517,-46,-330,4435,-11
3537,-47,-349,4500,-8
3557,-21,-351,4479,-7
3577,-20,-330,4438,-10
3597,-29,-331,4386,-11
3617,-60,-310,4271,-10
3637,-2,-316,4202,-8
3657,-11,-287,4124,-11
3677,-30,-298,4005,-12
3697,-71,-284,3941,-11
3717,-50,-265,3871,-8
3737,-9,-287,3849,-7
3757,-44,-256,3847,-10
3777,-50,-282,3913,-10
3797,-2,-294,3958,-10
3817,-18,-298,4036,-13
3837,-43,-314,4182,-13
3857,-37,-315,4243,-11
3877,-5,-305,4299,-10
3897,-51,-330,4421,-14
3917,-91,-321,4442,-7
3937,-34,-337,4459,-8
3957,-4,-343,4445,-9
3977,-38,-322,4397,-12
3997,-83,-330,4330,-7
4017,-30,-318,4240,-7
4037,23,-326,4180,-10
4057,2,-314,4085,-11
4077,-90,-304,4012,-14
4097,-88,-291,3962,-10
4117,-11,-286,3893,-8
4137,1,-299,3906,-11
4157,-69,-290,3966,-12
4177,-93,-271,3986,-10
4197,11,-305,4018,-7
4217,19,-307,4158,-16
4237,-59,-309,4211,-15
4257,-44,-310,4232,-9
4277,43,-313,4356,-9
4297,14,-297,4386,-15
4317,-90,-304,4401,-11
4337,-122,-305,4422,-8
4357,-51,-288,4342,-3
4377,8,-314,4265,-7
4397,-70,-312,4255,-7
4417,-62,-312,4119,-5
4437,5,-332,4022,-3
4457,34,-305,4000,-10
4477,31,-313,3981,-14
4497,-13,-290,3912,-14
4517,-75,-289,3994,-14
4537,-45,-268,4014,-11
4557,-126,-246,4017,-12
4577,-238,-247,4103,-7
4597,-175,-267,4159,11
4617,-23,-282,4147,12
4637,-59,-371,4207,13
4657,-61,-386,4358,16
4677,177,-379,4282,24
4697,-64,-306,4225,4
4717,-305,-288,4347,10
4737,-442,-268,4272,41
4757,-136,-307,4275,57
4777,38,-344,4339,52
4797,118,-373,4206,51
4817,499,-370,4154,29
4837,582,-383,4284,-10
4857,-45,-300,4199,-43
4877,-308,-300,4013,-22
4897,434,-363,4120,-4
4917,954,-369,4103,-31
4937,1163,-391,3971,-91
4957,1248,-489,4149,-156
4977,1256,-548,4207,-212
4997,1307,-523,4122,-248
5017,1428,-511,4193,-266
5037,1470,-567,4323,-310
5057,2190,-629,4596,-421
5077,1913,-608,4363,-537
5097,2649,-729,4410,-595
5117,4559,-952,4189,-900
5137,5044,-1250,4303,-1216
5157,4388,-1507,3935,-1551
5177,3188,-1816,3683,-1766
5197,3491,-2162,4072,-1925
5217,4135,-2525,4134,-2195
5237,3550,-2728,3891,-2438
5257,2063,-2908,3933,-2608
5277,857,-2912,3999,-2678
5297,1398,-3084,3588,-2675
5317,3160,-3636,3570,-2756
5337,4290,-4256,3398,-2988
5357,4280,-5063,3371,-3250
5377,2880,-5346,3187,-3488
5397,1680,-5693,3266,-3654
