Time/ms,Pressure/hPa
2034,1013.06
2134,1013.10
2234,1013.10
2334,1013.14
2434,1013.13
2534,1013.14
2634,1013.14
2734,1013.14
2834,1013.13
2934,1013.13
3034,1013.13
3134,1013.13
3234,1013.13
3334,1013.13
3434,1013.13
3534,1013.17
3634,1013.14
3734,1013.13
3834,1013.13
3934,1013.13
4034,1013.14
4136,1013.14
4236,1013.14
4336,1013.14
4436,1013.14
4536,1013.14
4636,1013.14
4736,1013.14
4836,1013.17
4936,1013.14
5036,1013.14
5136,1013.17
5236,1013.17
5336,1013.14
5436,1013.14
5536,1013.14
5636,1013.14
5736,1013.14
5836,1013.14
5936,1013.14
6036,1013.14
6136,1013.14
6236,1013.14
6336,1013.14
6436,1013.14
6536,1013.14
6636,1013.14
6736,1013.14
6836,1013.14
6936,1013.14
7036,1013.14
7136,1013.13
7236,1013.13
7336,1013.14
7436,1013.14
7536,1013.14
7636,1013.14
7736,1013.14
7836,1013.14
7936,1013.13
8036,1013.13
8136,1013.13
8236,1013.13
8336,1013.14
8436,1013.13
8536,1013.13
8636,1013.13
8736,1013.13
8836,1013.17
8936,1013.13
9036,1013.13
9136,1013.14
9236,1013.14
9336,1013.13
9436,1013.13
9536,1013.13
9636,1013.14
9736,1013.14
9836,1013.14
9936,1013.14
10036,1013.14
10136,1013.14
10236,1013.14
10336,1013.14
10436,1013.14
10536,1013.14
10636,1013.14
10736,1013.14
10838,1013.14
10938,1013.13
11038,1013.14
11138,1013.14
11238,1013.13
11338,1013.13
11438,1013.13
11538,1013.17
11638,1013.14
11738,1013.14
11838,1013.13
11938,1013.13
12038,1013.13
12138,1013.13
12238,1013.13
12338,1013.17
12438,1013.17
12538,1013.17
12638,1013.17
12738,1013.17
12838,1013.17
12938,1013.17
13038,1013.14
13138,1013.14
13240,1013.14
13341,1013.14
13441,1013.14
13541,1013.14
13641,1013.17
13741,1013.17
13841,1013.14
13941,1013.14
14041,1013.14
14141,1013.14
14241,1013.14
14341,1013.14
14441,1013.17
14541,1013.17
14641,1013.14
14741,1013.14
14841,1013.14
14941,1013.14
15041,1013.14
15141,1013.17
15241,1013.14
15341,1013.14
15441,1013.13
15541,1013.14
15641,1013.14
15741,1013.14
15841,1013.14
15941,1013.14
16041,1013.14
16141,1013.13
16241,1013.14
16341,1013.14
16441,1013.14
16541,1013.14
16641,1013.14
16741,1013.13
16841,1013.17
16941,1013.13
17041,1013.13
17141,1013.13
17241,1013.17
17341,1013.14
17445,1013.14
17545,1013.13
17645,1013.14
17745,1013.13
17845,1013.13
17945,1013.17
18045,1013.14
18145,1013.14
18245,1013.14
18345,1013.14
18445,1013.14
18545,1013.14
18645,1013.13
18745,1013.13
18845,1013.17
18945,1013.17
19045,1013.14
19145,1013.13
19245,1013.14
19345,1013.17
19445,1013.14
19545,1013.14
19645,1013.14
19745,1013.13
19845,1013.14
19945,1013.17
20045,1013.14
20145,1013.17
20245,1013.14
20345,1013.17
20445,1013.14
20545,1013.14
20645,1013.17
20745,1013.14
20845,1013.17
20945,1013.17
21045,1013.17
21145,1013.17
21245,1013.17
21345,1013.14
21445,1013.17
21545,1013.17
21645,1013.17
21745,1013.17
21845,1013.17
21945,1013.17
22045,1013.17
22145,1013.17
22245,1013.17
22345,1013.17
22445,1013.14
22545,1013.14
22645,1013.14
22745,1013.17
22845,1013.17
22945,1013.14
23045,1013.17
23145,1013.17
23247,1013.17
23347,1013.17
23447,1013.17
23547,1013.17
23647,1013.17
23747,1013.17
23847,1013.17
23947,1013.17
24047,1013.17
24147,1013.17
24247,1013.17
24347,1013.14
24447,1013.14
24547,1013.13
24647,1013.13
24747,1013.14
24847,1013.17
24947,1013.17
25047,1013.14
25147,1013.14
25247,1013.17
25347,1013.17
25447,1013.17
25547,1013.17
25647,1013.17
25747,1013.17
25847,1013.17
25947,1013.17
26047,1013.14
26147,1013.14
26247,1013.14
26347,1013.14
26447,1013.14
26547,1013.14
26647,1013.14
26747,1013.13
26847,1013.13
26947,1013.14
27047,1013.14
27147,1013.14
27247,1013.14
27347,1013.14
27447,1013.13
27547,1013.13
27647,1013.14
27747,1013.14
27847,1013.17
27947,1013.14
28047,1013.17
28147,1013.17
28247,1013.17
28347,1013.14
28447,1013.17
28547,1013.14
28647,1013.17
28747,1013.14
28847,1013.17
28947,1013.17
29047,1013.17
29147,1013.17
29247,1013.17
29347,1013.17
29447,1013.17
29547,1013.13
29647,1013.13
29747,1013.17
29849,1013.17
29949,1013.17
30049,1013.17
30149,1013.17
30249,1013.14
30349,1013.14
30449,1013.17
30549,1013.17
30649,1013.17
30749,1013.14
30849,1013.14
30949,1013.14
31049,1013.14
31149,1013.14
31249,1013.17
31349,1013.14
31449,1013.14
31549,1013.14
31649,1013.14
31749,1013.14
31849,1013.14
31949,1013.14
32049,1013.14
32149,1013.14
32249,1013.14
32349,1013.14
32449,1013.14
32549,1013.14
32649,1013.14
32749,1013.17
32849,1013.14
32949,1013.17
33049,1013.14
33149,1013.14
33249,1013.14
33349,1013.14
33449,1013.14
33549,1013.14
33649,1013.14
33749,1013.14
33849,1013.14
33949,1013.14
34049,1013.14
34149,1013.14
34249,1013.14
34349,1013.14
34449,1013.14
34549,1013.14
34649,1013.14
34749,1013.14
34849,1013.14
34949,1013.14
35049,1013.14
35149,1013.14
35249,1013.14
35349,1013.14
35449,1013.14
35550,1013.14
35650,1013.14
35750,1013.14
35850,1013.14
35950,1013.13
36050,1013.13
36150,1013.13
36250,1013.13
36350,1013.17
36450,1013.17
36550,1013.17
36650,1013.14
36750,1013.17
36850,1013.14
36950,1013.14
37050,1013.14
37150,1013.14
37250,1013.14
37350,1013.14
37450,1013.14
37550,1013.14
